,soil_type,wild_soil
122,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
123,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
124,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
125,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
126,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
127,4,cache_la_poudre_wilderness_area gateview_family cryaquolis_complex climatic_zone_montane_and_subalpine geologic_zone_alluvium
128,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
129,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
130,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
131,4,cache_la_poudre_wilderness_area pachic_argiborolis aquolis_complex climatic_zone_montane_dry_and_montane geologic_zone_alluvium
132,4,cache_la_poudre_wilderness_area gateview_family cryaquolis_complex climatic_zone_montane_and_subalpine geologic_zone_alluvium
133,4,cache_la_poudre_wilderness_area gateview_family cryaquolis_complex climatic_zone_montane_and_subalpine geologic_zone_alluvium
134,4,cache_la_poudre_wilderness_area bullwark catamount_families rock_outcrop_complex rubbly climatic_zone_montane geologic_zone_igneous_and_metamorphic
135,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
136,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
137,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
138,4,cache_la_poudre_wilderness_area gateview_family cryaquolis_complex climatic_zone_montane_and_subalpine geologic_zone_alluvium
139,4,cache_la_poudre_wilderness_area gateview_family cryaquolis_complex climatic_zone_montane_and_subalpine geologic_zone_alluvium
140,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
141,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
142,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
143,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
144,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
145,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
146,4,cache_la_poudre_wilderness_area pachic_argiborolis aquolis_complex climatic_zone_montane_dry_and_montane geologic_zone_alluvium
147,4,cache_la_poudre_wilderness_area bullwark catamount_families rock_outcrop_complex rubbly climatic_zone_montane geologic_zone_igneous_and_metamorphic
148,4,cache_la_poudre_wilderness_area bullwark catamount_families rock_outcrop_complex rubbly climatic_zone_montane geologic_zone_igneous_and_metamorphic
149,4,cache_la_poudre_wilderness_area bullwark catamount_families rock_outcrop_complex rubbly climatic_zone_montane geologic_zone_igneous_and_metamorphic
150,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
151,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
152,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
153,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
154,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
155,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
156,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
157,4,cache_la_poudre_wilderness_area ratake_family rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
158,4,cache_la_poudre_wilderness_area gateview_family cryaquolis_complex climatic_zone_montane_and_subalpine geologic_zone_alluvium
159,4,cache_la_poudre_wilderness_area gateview_family cryaquolis_complex climatic_zone_montane_and_subalpine geologic_zone_alluvium
160,4,cache_la_poudre_wilderness_area vanet wetmore_families rock_outcrop_complex stony climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
161,4,cache_la_poudre_wilderness_area vanet wetmore_families rock_outcrop_complex stony climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
162,4,cache_la_poudre_wilderness_area bullwark catamount_families rock_outcrop_complex rubbly climatic_zone_montane geologic_zone_igneous_and_metamorphic
163,4,cache_la_poudre_wilderness_area bullwark catamount_families rock_outcrop_complex rubbly climatic_zone_montane geologic_zone_igneous_and_metamorphic
164,4,cache_la_poudre_wilderness_area bullwark catamount_families rock_outcrop_complex rubbly climatic_zone_montane geologic_zone_igneous_and_metamorphic
165,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
166,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
167,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
168,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
169,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
170,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
171,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
172,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
173,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
174,4,cache_la_poudre_wilderness_area ratake_family rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
175,4,cache_la_poudre_wilderness_area ratake_family rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
176,4,cache_la_poudre_wilderness_area ratake_family rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
177,4,cache_la_poudre_wilderness_area ratake_family rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
178,4,cache_la_poudre_wilderness_area cathedral_family rock_outcrop_complex extremely_stony climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
179,4,cache_la_poudre_wilderness_area gateview_family cryaquolis_complex climatic_zone_montane_and_subalpine geologic_zone_alluvium
180,4,cache_la_poudre_wilderness_area vanet wetmore_families rock_outcrop_complex stony climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
181,4,cache_la_poudre_wilderness_area vanet wetmore_families rock_outcrop_complex stony climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
182,4,cache_la_poudre_wilderness_area vanet wetmore_families rock_outcrop_complex stony climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
183,4,cache_la_poudre_wilderness_area bullwark catamount_families rock_outcrop_complex rubbly climatic_zone_montane geologic_zone_igneous_and_metamorphic
184,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
185,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
186,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
187,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
188,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
189,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
190,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
191,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
192,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
193,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
194,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
195,4,cache_la_poudre_wilderness_area pachic_argiborolis aquolis_complex climatic_zone_montane_dry_and_montane geologic_zone_alluvium
196,4,cache_la_poudre_wilderness_area gateview_family cryaquolis_complex climatic_zone_montane_and_subalpine geologic_zone_alluvium
197,4,cache_la_poudre_wilderness_area vanet wetmore_families rock_outcrop_complex stony climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
198,4,cache_la_poudre_wilderness_area vanet wetmore_families rock_outcrop_complex stony climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
199,4,cache_la_poudre_wilderness_area vanet wetmore_families rock_outcrop_complex stony climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
200,4,cache_la_poudre_wilderness_area vanet wetmore_families rock_outcrop_complex stony climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
201,4,cache_la_poudre_wilderness_area vanet wetmore_families rock_outcrop_complex stony climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
202,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
203,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
204,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
205,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
206,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
207,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
208,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
209,4,cache_la_poudre_wilderness_area haploborolis rock_outcrop_complex rubbly climatic_zone_lower_montane geologic_zone_igneous_and_metamorphic
